practice_label,all_labels,n_observations,slug,filename,practice_family,image_prompt
In-situ water harvesting,In-situ water harvesting,152,in-situ-water-harvesting,in-situ-water-harvesting.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Mulch,Mulch,152,mulch,mulch.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Soil surface covered with golden straw mulch around the plants. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
ISFM,ISFM,126,isfm,isfm.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Integrated soil fertility management combining compost and mineral fertilizer. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Parklands,Parklands,123,parklands,parklands.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Scattered mature Faidherbia trees over cropland in a parkland agroforestry system. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer Reduction,Inorganic Fertilizer Reduction,116,inorganic-fertilizer-reduction,inorganic-fertilizer-reduction.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Applying a reduced, precise dose of granular mineral fertilizer. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
organic amedements,organic amedements,114,organic-amedements,organic-amedements.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Incorporating organic amendments (compost and manure) into the soil. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Water Harvesting,Inorganic Fertilizer-Water Harvesting,102,inorganic-fertilizer-water-harvesting,inorganic-fertilizer-water-harvesting.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Intercropping,Inorganic Fertilizer-Intercropping,97,inorganic-fertilizer-intercropping,inorganic-fertilizer-intercropping.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and two crops intercropped in alternating rows, maize with climbing beans. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Biochar,Biochar,93,biochar,biochar.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Working dark biochar into the topsoil. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Biochar-Inorganic Fertilizer,Biochar-Inorganic Fertilizer,80,biochar-inorganic-fertilizer,biochar-inorganic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Working dark biochar into the topsoil and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Conservation tillage,Conservation tillage,74,conservation-tillage,conservation-tillage.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Conservation-tillage field with surface residue cover. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Exclosure,Exclosure,74,exclosure,exclosure.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A restored area exclosure with regenerating shrubs and grass on a hillside. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
agronomic/biological SWCP,agronomic/biological SWCP,71,agronomic-biological-swcp,agronomic-biological-swcp.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Contour grass strips and agronomic soil-conservation measures. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
pH Control,pH Control,64,ph-control,ph-control.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Liming acidic soil with white lime powder. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Biochar-Organic Fertilizer,Biochar-Organic Fertilizer,60,biochar-organic-fertilizer,biochar-organic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Working dark biochar into the topsoil and spreading well-rotted organic manure over the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-pH Control,Inorganic Fertilizer-pH Control,60,inorganic-fertilizer-ph-control,inorganic-fertilizer-ph-control.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and liming acidic soil with white lime powder. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
drip irrigation,drip irrigation,58,drip-irrigation,drip-irrigation.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Black drip-irrigation lines watering crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Multistrata Agroforestry,Multistrata Agroforestry,51,multistrata-agroforestry,multistrata-agroforestry.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A multistrata agroforestry system with layered trees, shrubs and crops. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Animal feed management,Animal feed management,51,animal-feed-management,animal-feed-management.webp,Livestock production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Improved livestock feeding with stored cut-and-carry fodder. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Mulch,Inorganic Fertilizer-Mulch,50,inorganic-fertilizer-mulch,inorganic-fertilizer-mulch.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and soil surface covered with golden straw mulch around the plants. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
furrow irrigation,furrow irrigation,49,furrow-irrigation,furrow-irrigation.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Water flowing along irrigation furrows between crop ridges. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Fallow,Improved Fallow,49,improved-fallow,improved-fallow.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A resting improved-fallow plot with regrowth. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Biochar-Inorganic Fertilizer-Organic Fertilizer,Biochar-Inorganic Fertilizer-Organic Fertilizer,48,biochar-inorganic-fertilizer-organic-fertilizer,biochar-inorganic-fertilizer-organic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Working dark biochar into the topsoil and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and spreading well-rotted organic manure over the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,47,improved-varieties-inorganic-fertilizer,improved-varieties-inorganic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Other Agroforestry,Other Agroforestry,45,other-agroforestry,other-agroforestry.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Trees integrated with crops in an agroforestry field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Mulch-Reduced Tillage,Mulch-Reduced Tillage,44,mulch-reduced-tillage,mulch-reduced-tillage.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Soil surface covered with golden straw mulch around the plants and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Crop Residue Incorporation-Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer,40,crop-residue-incorporation-inorganic-fertilizer,crop-residue-incorporation-inorganic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Ploughing crop residues back into the soil and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Intercropping-Water Harvesting,Inorganic Fertilizer-Intercropping-Water Harvesting,38,inorganic-fertilizer-intercropping-water-harvesting,inorganic-fertilizer-intercropping-water-harvesting.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and two crops intercropped in alternating rows, maize with climbing beans and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Intercropping-Water Harvesting,Intercropping-Water Harvesting,38,intercropping-water-harvesting,intercropping-water-harvesting.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Two crops intercropped in alternating rows, maize with climbing beans and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Crop Residue Incorporation-Mulch-Reduced Tillage,Crop Residue Incorporation-Mulch-Reduced Tillage,35,crop-residue-incorporation-mulch-reduced-tillage,crop-residue-incorporation-mulch-reduced-tillage.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Ploughing crop residues back into the soil and soil surface covered with golden straw mulch around the plants and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Intercropping,Improved Varieties-Intercropping,32,improved-varieties-intercropping,improved-varieties-intercropping.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and two crops intercropped in alternating rows, maize with climbing beans. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
grazing management,grazing management,31,grazing-management,grazing-management.webp,Livestock production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Well-managed rotational grazing pasture with livestock. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Crop Residue Incorporation,Crop Residue Incorporation,30,crop-residue-incorporation,crop-residue-incorporation.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Ploughing crop residues back into the soil. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Biological SWC practices,Biological SWC practices,30,biological-swc-practices,biological-swc-practices.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Vegetative grass strips and hedgerows along the contour. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Reduced Tillage-Water Harvesting,Reduced Tillage-Water Harvesting,27,reduced-tillage-water-harvesting,reduced-tillage-water-harvesting.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A minimum-tillage field with crop residue left on the surface and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Supplemental Irrigation,Improved Varieties-Supplemental Irrigation,24,improved-varieties-supplemental-irrigation,improved-varieties-supplemental-irrigation.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and supplemental irrigation watering a green crop field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Agroforestry Pruning-Inorganic Fertilizer,Agroforestry Pruning-Inorganic Fertilizer,20,agroforestry-pruning-inorganic-fertilizer,agroforestry-pruning-inorganic-fertilizer.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A farmer pruning agroforestry trees among crops and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Parklands,Inorganic Fertilizer-Parklands,20,inorganic-fertilizer-parklands,inorganic-fertilizer-parklands.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and scattered mature Faidherbia trees over cropland in a parkland agroforestry system. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Crop Rotation,Crop Rotation,19,crop-rotation,crop-rotation.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Adjacent plots showing a cereal and legume crop rotation. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Drought tolerrant crops,Drought tolerrant crops,19,drought-tolerrant-crops,drought-tolerrant-crops.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Hardy drought-tolerant crops growing in a dry field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Organic Fertilizer-Water Harvesting,Organic Fertilizer-Water Harvesting,17,organic-fertilizer-water-harvesting,organic-fertilizer-water-harvesting.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Spreading well-rotted organic manure over the field and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Agroforestry Pruning,Agroforestry Pruning,17,agroforestry-pruning,agroforestry-pruning.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A farmer pruning agroforestry trees among crops. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Organic Fertilizer-pH Control,Organic Fertilizer-pH Control,16,organic-fertilizer-ph-control,organic-fertilizer-ph-control.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Spreading well-rotted organic manure over the field and liming acidic soil with white lime powder. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
IWM,IWM,15,iwm,iwm.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Integrated water management across farmland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Mulch-Water Harvesting,Mulch-Water Harvesting,12,mulch-water-harvesting,mulch-water-harvesting.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Soil surface covered with golden straw mulch around the plants and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
furrow irrigation_alternate,furrow irrigation_alternate,12,furrow-irrigation-alternate,furrow-irrigation-alternate.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alternate-furrow irrigation between crop ridges. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Mulch,Improved Varieties-Mulch,12,improved-varieties-mulch,improved-varieties-mulch.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and soil surface covered with golden straw mulch around the plants. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Pasture Management,Pasture Management,11,pasture-management,pasture-management.webp,Livestock production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. An improved, well-managed grazing pasture. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
weeding,weeding,11,weeding,weeding.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A farmer hand-weeding between crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Supplemental Irrigation,Inorganic Fertilizer-Supplemental Irrigation,10,inorganic-fertilizer-supplemental-irrigation,inorganic-fertilizer-supplemental-irrigation.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and supplemental irrigation watering a green crop field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Agroforestry Pruning-Inorganic Fertilizer Reduction,Agroforestry Pruning-Inorganic Fertilizer Reduction,10,agroforestry-pruning-inorganic-fertilizer-reduction,agroforestry-pruning-inorganic-fertilizer-reduction.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A farmer pruning agroforestry trees among crops and applying a reduced, precise dose of granular mineral fertilizer. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Organic Fertilizer-Water Harvesting,Inorganic Fertilizer-Organic Fertilizer-Water Harvesting,10,inorganic-fertilizer-organic-fertilizer-water-harvesting,inorganic-fertilizer-organic-fertilizer-water-harvesting.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and spreading well-rotted organic manure over the field and a small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Other Agroforestry,Inorganic Fertilizer-Other Agroforestry,9,inorganic-fertilizer-other-agroforestry,inorganic-fertilizer-other-agroforestry.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and trees integrated with crops in an agroforestry field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Organic Fertilizer-pH Control,Inorganic Fertilizer-Organic Fertilizer-pH Control,8,inorganic-fertilizer-organic-fertilizer-ph-control,inorganic-fertilizer-organic-fertilizer-ph-control.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and spreading well-rotted organic manure over the field and liming acidic soil with white lime powder. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
overhead irrigation with mulching,overhead irrigation with mulching,8,overhead-irrigation-with-mulching,overhead-irrigation-with-mulching.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Soil surface covered with golden straw mulch around the plants. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Reduced Tillage,Inorganic Fertilizer-Reduced Tillage,8,inorganic-fertilizer-reduced-tillage,inorganic-fertilizer-reduced-tillage.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Intercropping or Rotation,Intercropping or Rotation,8,intercropping-or-rotation,intercropping-or-rotation.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A field practising intercropping and rotation. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Physical + biological SWC practices,Physical + biological SWC practices,7,physical-biological-swc-practices,physical-biological-swc-practices.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Stone bunds reinforced with grass strips on a hillside. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Alleycropping,Alleycropping,6,alleycropping,alleycropping.webp,Agro-forestry & forest management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Alley cropping with leguminous hedgerows between crop strips. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties-Inorganic Fertilizer-Mulch,Improved Varieties-Inorganic Fertilizer-Mulch,6,improved-varieties-inorganic-fertilizer-mulch,improved-varieties-inorganic-fertilizer-mulch.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field and broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and soil surface covered with golden straw mulch around the plants. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Intercropping-Mulch,Intercropping-Mulch,4,intercropping-mulch,intercropping-mulch.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Two crops intercropped in alternating rows, maize with climbing beans and soil surface covered with golden straw mulch around the plants. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Mulch-Organic Fertilizer,Mulch-Organic Fertilizer,4,mulch-organic-fertilizer,mulch-organic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Soil surface covered with golden straw mulch around the plants and spreading well-rotted organic manure over the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Intercropping or Rotation,Inorganic Fertilizer-Intercropping or Rotation,4,inorganic-fertilizer-intercropping-or-rotation,inorganic-fertilizer-intercropping-or-rotation.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and a field practising intercropping and rotation. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Intercropping-Reduced Tillage,Intercropping-Reduced Tillage,3,intercropping-reduced-tillage,intercropping-reduced-tillage.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Two crops intercropped in alternating rows, maize with climbing beans and a minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
